LogSequence,Integration_MethodName,TriggerType,PipelineName,TriggerId,TriggerName,TriggerTime,SourceType,SourceSchema,SourceName,TargetType,TargetSchema,TargetName,RowsRead,RowsWritten,ExecutionRunId,ExecutionStatus,ExecutionStartTime,ExecutionEndTime,ExecutionRunDurationInSecs,ErrorCode,ErrorName,ErrorDescription,ErrorSeverity,ErrorCategory
21,Boomi,BoomiSchedule,Get AssetAndAssetAttributes,cceb01fb-ce71-4867-a383-cebe4b3ea820,2024-03-08T14:32:27Z,2024-03-08T09:00:21,D365Entity,D365_FNO,AssetAndAssetAttributes,ORACLE_TTPUSER,TTPUSER,D365_ASSETS,1934,NULL,execution-5cd67696-4b97-40a1-bf64-ce57d6e06b0d-2024.03.08,Complete,2024-03-08 09:00:22.000,2024-03-08 09:01:20.000,58,NULL,NULL,NULL,NULL,NULL
3,Boomi,Boomi Schedule,MDM_Assets_Load_Daily,123456789,DWH Daily Load,Daily 12:01 AM,D365 Entity,D365_FNO,D365_Assets_Entity,Azure DB Table,DBO,MDM_Assets,100,100,32165,Success,2024-03-06 15:00:00.000,2024-03-06 15:01:43.000,103,E001,Error 001 - Write Error,Write Error During Execution,High,WriteIssue
22,Boomi,BoomiSchedule,Get AssetAndAssetAttributes,cceb01fb-ce71-4867-a383-cebe4b3ea820,2024-03-08T14:32:27Z,2024-03-08T09:36:28,D365Entity,D365_FNO,AssetAndAssetAttributes,ORACLE_TTPUSER,TTPUSER,D365_ASSETS,NULL,0,execution-263205cd-bcbb-478b-9d21-e1f12a6ba890-2024.03.08,Complete,2024-03-08 09:36:28.000,2024-03-08 09:36:29.000,1,NULL,NULL,NULL,NULL,NULL
26,Boomi,BoomiSchedule,Get AssetAndAssetAttributes,cceb01fb-ce71-4867-a383-cebe4b3ea820,2024-03-08T00:01:00Z,2024-03-08T10:28:23,D365Entity,D365_FNO,AssetAndAssetAttributes,ORACLE_TTPUSER,TTPUSER,D365_ASSETS,12,12,execution-3943c4ac-975e-44c6-bd10-4aba5c1d6e2d-2024.03.08,Complete,2024-03-08 10:28:23.000,2024-03-08 10:28:25.000,2,NULL,NULL,NULL,NULL,NULL
24,Boomi,BoomiSchedule,Get AssetAndAssetAttributes,cceb01fb-ce71-4867-a383-cebe4b3ea820,2024-02-09T17:54:00Z,2024-03-08T10:02:02,D365Entity,D365_FNO,AssetAndAssetAttributes,ORACLE_TTPUSER,TTPUSER,D365_ASSETS,1937,0,execution-cf4d786b-1fe4-4b61-857f-5404d894a1c5-2024.03.08,Complete,2024-03-08 10:02:02.000,2024-03-08 10:03:08.000,66,NULL,NULL,NULL,NULL,NULL
27,Boomi,BoomiSchedule,Get AssetAndAssetAttributes,cceb01fb-ce71-4867-a383-cebe4b3ea820,2024-03-08T16:23:03Z,2024-03-08T11:35:56,D365Entity,D365_FNO,AssetAndAssetAttributes,ORACLE_TTPUSER,TTPUSER,D365_ASSETS,0,0,execution-77154ea4-d985-4db0-8eb0-b8d633a23590-2024.03.08,Complete,2024-03-08 11:35:57.000,2024-03-08 11:35:58.000,1,NULL,NULL,NULL,NULL,NULL
20,Boomi,BoomiSchedule,"Get AssetAndAssetAttributes ",cceb01fb-ce71-4867-a383-cebe4b3ea820,NULL,2024-03-08T08:50:24,D365Entity,D365_FNO,AssetAndAssetAttributes,ORACLE_TTPUSER,TTPUSER,D365_ASSETS,0,0,execution-c91dbda4-fefa-468d-a72b-1b46f53ba463-2024.03.08,Running,2024-03-08 08:50:24.000,2024-03-08 08:50:24.000,0,NULL,NULL,NULL,NULL,NULL
23,Boomi,BoomiSchedule,Get AssetAndAssetAttributes,cceb01fb-ce71-4867-a383-cebe4b3ea820,2024-03-08T14:32:27Z,2024-03-08T09:55:09,D365Entity,D365_FNO,AssetAndAssetAttributes,ORACLE_TTPUSER,TTPUSER,D365_ASSETS,0,0,execution-7a9a9be5-53d9-47e6-8e93-e1a65f2dd0c4-2024.03.08,Complete,2024-03-08 09:55:09.000,2024-03-08 09:55:10.000,1,NULL,NULL,NULL,NULL,NULL
25,Boomi,BoomiSchedule,Get AssetAndAssetAttributes,cceb01fb-ce71-4867-a383-cebe4b3ea820,2024-03-08T16:01:22Z,2024-03-08T10:18:47,D365Entity,D365_FNO,AssetAndAssetAttributes,ORACLE_TTPUSER,TTPUSER,D365_ASSETS,0,0,execution-5105f516-89c9-44d8-8361-c901c35773ba-2024.03.08,Complete,2024-03-08 10:18:47.000,2024-03-08 10:18:48.000,1,NULL,NULL,NULL,NULL,NULL
45,Boomi,BoomiSchedule,Get KESAssetAttachments,5cfb1131-0e85-49b0-ab59-cb997645e978,2023-01-01T06:00:00Z,2024-03-13T14:36:33,D365Entity,D365_FNO,KESAssetAttachmentsEntity,Azure DB Table,DBO,D365_AssetAttachments,2192,2192,execution-3f659243-6b11-4166-8ae1-614b9aea822e-2024.03.13,Complete,2024-03-13 14:36:33.000,2024-03-13 14:37:08.000,35,NULL,NULL,NULL,NULL,NULL
